"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D6,D7,D1,D8,D5,D2,D4,D3";"D_DO-27_P15.24mm_Horizontal";8;"D_Schottky";;;
2;"J3";"TerminalBlock_Phoenix_MKDS-1,5-12-5.08_1x12_P5.08mm_Horizontal";1;"Screw_Terminal_01x12";;;
3;"RS1,RS2";"R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal";2;"0.5 Ohm";;;
4;"J2,J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";2;"Screw_Terminal_01x02";;;
5;"C4";"CP_Radial_D13.0mm_P5.00mm";1;"470uF";;;
6;"R1";"R_Axial_DIN0922_L20.0mm_D9.0mm_P25.40mm_Horizontal";1;"22K";;;
7;"U1";"DIP-20_W7.62mm";1;"L297";;;
8;"C3,C2";"C_Rect_L7.5mm_W6.5mm_P5.00mm";2;"100 nF";;;
9;"J4";"TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal";1;"Screw_Terminal_01x04";;;
10;"C1";"C_Rect_L10.0mm_W4.0mm_P7.50mm_FKS3_FKP3";1;"3.3 nF";;;
11;"U2";"TO127P2020X500X2100-15";1;"L298N";;;
